Año,Kilómetros,Corolla Cross,Hilux SW4,RAV4,Diésel,Eléctrico,Híbrido,Nafta,Nafta/GNC,Automática,Manual,1,1.8,2.0,2.4,2.5,2.7,2.8,3.0,hibrido,Precio
2018,100000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36000.0
2013,355000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20000.0
2018,61150,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44976.07655502392
2022,1000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,32800.0
2019,123000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33971.29186602871
2022,5000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,65000.0
2022,38000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30000.0
2024,1500,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,35406.6985645933
2011,210000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22000.0
2009,350000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,9090.90909090909
2016,150000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36000.0
2023,16000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,32440.191387559807
2018,90000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39000.0
2023,1500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,102000.0
2023,2023,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,38000.0
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,64593.3014354067
2014,153000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30000.0
2013,122487,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,18800.0
2023,40000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47368.42105263158
2021,41085,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,44976.07655502392
2023,32000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59900.0
2018,32700,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,43000.0
2024,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62200.95693779904
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,34430.62200956938
2023,8000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,28708.133971291867
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,40000.0
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,35000.0
2024,1200,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40900.0
2022,27200,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,51500.0
2023,13000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,52631.57894736842
2009,200000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22500.0
2024,500,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34000.0
1999,290000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17999.0
2024,1000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,29747.36842105263
2023,16000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30000.0
2017,100000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34000.0
2013,90000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,23444.976076555024
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,54500.0
2012,240000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24000.0
2020,16900,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44900.0
2023,1111,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58000.0
2020,29000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,48000.0
2016,116000,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34500.0
2008,160000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22000.0
2011,220000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23000.0
2022,50000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26258.373205741627
2017,120000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,26000.0
2020,48738,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44019.13875598087
2023,1000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,71900.0
2016,126840,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33971.29186602871
2021,23757,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,49000.0
2022,4000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57416.26794258373
2011,126000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12900.0
2023,20000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,33000.0
2022,7000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,32000.0
2020,100000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36363.63636363636
2012,141000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26800.0
2008,270000,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12800.0
2018,77530,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,40900.0
2023,2023,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57000.0
2005,160000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16500.0
2011,190000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20095.693779904308
2016,132000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,33000.0
2023,11200,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,58000.0
2024,1111,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,39900.0
2016,108400,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,25825.837320574163
2023,11000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,36900.0
2021,56497,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46000.0
2016,135600,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,23827.75119617225
2019,120000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36500.0
2013,166000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,23923.44497607656
2019,70000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,39900.0
2023,6700,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,32000.0
2021,12000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,49900.0
2014,204000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25263.157894736843
2016,132000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34000.0
2023,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14560.765550239234
2021,15500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50000.0
2024,1000,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,38000.0
2024,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,32535.88516746412
2023,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,64593.3014354067
2001,230000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25000.0
2019,37000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46500.0
2021,1100,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53500.0
2024,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34900.0
2017,95000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,35000.0
2013,118000,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16500.0
2024,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57000.0
2023,500,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,47500.0
2013,156000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29900.0
2011,150000,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,23000.0
2020,24600,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,50000.0
2014,108000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19138.75598086124
2012,270000,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22009.569377990432
2023,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,31100.47846889952
